time,venue,code,raceno,runnerno,runnername,type,market,bookie,odds,result,BSP,BSP
,,,,,,,,,,,Price Win,Price Place
6/20/2025 20:05,REDCLIFFE,Harness,6,3,BEACH MAGIC,CASH,Fixed Win,TAB,7,Error,4.1,1.68
6/20/2025 20:05,REDCLIFFE,Harness,6,4,DONT FEAR FOR ME,CASH,Fixed Win,Tabtouch,21,Error,29,5.98
6/20/2025 20:04,REDCLIFFE,Harness,6,4,DONT FEAR FOR ME,CASH,Fixed Win,Sportsbet,26,Error,29,5.98
6/20/2025 20:03,REDCLIFFE,Harness,6,7,SPORTS BOUNTY,CASH,Fixed Win,TAB,17,Error,36.92,5.06
6/20/2025 20:02,REDCLIFFE,Harness,6,9,ISLA AND ADDIE,CASH,Fixed Win,Tabtouch,9.5,Error,8.85,2.47
6/20/2025 19:30,REDCLIFFE,Harness,5,7,KODA DA MODA,CASH,Fixed Win,TAB,5.5,Error,5.6,1.84
6/20/2025 19:29,REDCLIFFE,Harness,5,6,CALL ME TROUBLE NZ,CASH,Fixed Win,TAB,16,Error,18.23,3.85
6/20/2025 19:28,REDCLIFFE,Harness,5,5,SON OF A SUN NZ,CASH,Fixed Win,Betr,29,Success,49.83,7.56
6/20/2025 18:58,REDCLIFFE,Harness,4,3,MY ULTIMATE FELIX,CASH,Fixed Win,BetRight,9,Error,9.2,2.4
6/20/2025 18:24,REDCLIFFE,Harness,3,2,NURBURGRING NZ,CASH,Fixed Win,TAB,21,Success,21,6.17
6/20/2025 18:23,REDCLIFFE,Harness,3,7,DEUS EX NZ,CASH,Fixed Win,BetRight,4,Error,4.1,2.61
6/20/2025 18:23,REDCLIFFE,Harness,3,3,SCARED STIFF NZ,CASH,Fixed Win,Tabtouch,4.6,Error,5.8,2.92
6/20/2025 18:22,REDCLIFFE,Harness,3,7,DEUS EX NZ,CASH,Fixed Win,Tabtouch,4.6,Error,4.1,2.61
6/20/2025 18:16,REDCLIFFE,Harness,3,7,DEUS EX NZ,CASH,Fixed Win,Betr,5.5,Error,4.1,2.61
6/20/2025 17:46,REDCLIFFE,Harness,2,2,ROYAL WINKLE,CASH,Fixed Win,Tabtouch,15,Error,11,4.1
6/20/2025 17:44,REDCLIFFE,Harness,2,3,HATTIES JEWEL,CASH,Fixed Win,TAB,5.5,Success,5.3,1.93
6/20/2025 17:43,REDCLIFFE,Harness,2,2,ROYAL WINKLE,CASH,Fixed Win,TAB,19,Error,11,4.1
6/20/2025 17:43,REDCLIFFE,Harness,2,3,HATTIES JEWEL,CASH,Fixed Win,Tabtouch,5,Success,5.3,1.93
6/20/2025 17:42,REDCLIFFE,Harness,2,9,SII SEMPRE TILLY,CASH,Fixed Win,TAB,34,Error,121.42,56.36
6/20/2025 17:41,REDCLIFFE,Harness,2,3,HATTIES JEWEL,CASH,Fixed Win,Betr,4.8,Success,5.3,1.93
6/20/2025 20:02,GEELONG,Greyhounds,4,8,IDRON BALE,CASH,Fixed Win,Sportsbet,10,Success,9,2.3
6/20/2025 19:25,GEELONG,Greyhounds,2,2,FEELIN' FREE,CASH,Fixed Win,Tabtouch,2.6,Error,2.12,1.68
6/20/2025 19:25,GEELONG,Greyhounds,2,3,VOLTS,CASH,Fixed Win,TAB,9.5,Error,9.48,3.42
